2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//controller/extension/module/SigmaMsg.php): failed to open stream: Permission denied in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/Logo.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/purse.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/sigma_menu-ico.png): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/tinkoff-padding.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/viber_ico.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/image/sigmamsg/yandex-padding.svg): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/address_book.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/mass_sending.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/profile.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  copy(/var/www/opencart/admin//view/javascript/sigmamsg/reports.js): failed to open stream: No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 283
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
2023-02-02 13:28:34 - PHP Warning:  mkdir(): No such file or directory in /var/www/opencart/system/storage/modification/admin/controller/extension/installer.php on line 276
